12XHHW-2SIS,[]
2THHNBLK,"['https://www.crawfordelectricsupply.com/product/detail/THHN-Wire-Copper-WIC-THHN-2-0-STR-BLK-500R/?s=22766', 'https://www.elliottelectric.com/P/Item/COP/THHN2BK500/', 'https://www.ebay.com/p/1000324008']"
4THHNBLK,"['https://www.gordonelectricsupply.com/p/thhn-4-str-black-500-reel-southwire-20499001/16306', 'https://www.winsupplyinc.com/southwire/_/A-04056043']"
EFX LA11,['https://www.standardelectricsupply.com/Electri-Flex-LA11-GRY-1-2-100FT-Electrical-Conduit']
GRC 300,"['https://www.rexelusa.com/usr/Root-Category/Conduit%2C-Ducts%2C-Raceways/Conduit---Metallic/Conduit---Straight/Steel---Rigid-Conduit/Multiple-300-Rigid-Conduit%2C-3%22%2C-Galvanized-Steel%2C-10%27/p/50031', 'https://www.elliottelectric.com/P/Item/CON/GAL3/', 'https://www.electricsupplyinc.com/content/galvanized-rigid-steel-conduit-grc-elbows.pdf', 'https://www.platt.com/platt-electric-supply/Conduit-Straight-Steel-Rigid-Conduit/Multiple/3R/product.aspx?zpid=65945', 'https://www.wheatland.com/wp-content/uploads/2018/02/Rigid-Metal-Conduit-Flyer.pdf', 'https://www.ideadigitalcontent.com/files/11508/GalvanizedRMC_catalog_11-JMC-0037_061812.pdf']"
DUR PC2400,"['https://www.ebay.com/itm/New-Duracell-ProCell-Alkaline-Battery-AAA-Cell-1-5V-Disposable-Pack-of-24-/122737329589', 'https://www.amazon.com/Duracell-Procell-Alkaline-Manganese-Dioxide-Battery/dp/B00GTYF1ZU']"
EVR EN95,"['https://www.vallen.ca/products/150-electrical/02-batteries/p-ZXZyIGVuOTU=-energizer-en95-industrial-battery-alkaline-zinc-manganese-dioxide-15-v-d', 'https://www.ebay.com/itm/36-Energizer-Industrial-D-Alkaline-Batteries-EN95-LR20-1-5-V-Exp-12-2028-/193273646952', 'https://www.turtle.com/991836/Product/energizer-en95']"
6THHNWHT,"['https://www.cooper-electric.com/product/detail/thhn-6-awg-19-strand-copper-white-500-foot-reel-cable?s=27018', 'https://www.mainelectricsupply.com/itemdetail/6WHTSTR500R']"
12THHNBLU,['https://www.mainelectricsupply.com/itemdetail/12BLUSTR']
PVC 400,"['https://www.samsonelectrical.com/product/pvc-4-in-pvc-sched-40-10ft-conduit/', 'https://www.springfieldelectric.com/d/PVC-Conduit-400/77645', 'https://www.rexelusa.com/usr/Root-Category/Conduit%2C-Ducts%2C-Raceways/Conduit---Non-Metallic/PVC---Straight/PVC-Conduit---Schedule-40/Multiple-400-4%22-PVC-Conduit%2C-10%27%2C-Schedule-40/p/43526', 'https://www.platt.com/platt-electric-supply/PVC-Straight-Conduit-Schedule-40/Multiple/4PX20/product.aspx?zpid=195427', 'https://platt.com/platt-electric-supply/PVC-Straight-Conduit-Schedule-40/Multiple/4P/product.aspx?zpid=69295', 'https://www.mainelectricsupply.com/itemdetail/PVC400']"
GRC 400,"['https://www.rexelusa.com/usr/Root-Category/Conduit%2C-Ducts%2C-Raceways/Conduit---Metallic/Conduit---Straight/Steel---Rigid-Conduit/Multiple-400-Rigid-Conduit%2C-4%22%2C-Galvanized-Steel%2C-10%27%2C/p/49987', 'https://www.electricsupplyinc.com/content/galvanized-rigid-steel-conduit-grc-elbows.pdf', 'https://www.platt.com/platt-electric-supply/Conduit-Straight-Steel-Rigid-Conduit/Multiple/4R/product.aspx?zpid=66001', 'https://www.cesco.com/Galvanized-Rigid-Conduit/c3999', 'https://www.ebay.com/itm/224025577352']"
