DWY 2001LT,[]
ILS AU350,"['https://www.platt.com/platt-electric-supply/Mechanical-Lugs-Aluminum-2-Conductor/Ilsco/AU-350/product.aspx?zpid=29132', 'https://www.mainelectricsupply.com/itemdetail/ILSAU350', 'https://www.springfieldelectric.com/d/ILSCO-AU-350/2899409', 'https://www.standardelectricsupply.com/ILSCO-AU-350-Mechanical-Connector', 'https://www.galco.com/buy/Ilsco/AU-350', 'https://www.iesupply.com/product/detail/Ilsco-Corporation-AU-350/?s=18024', 'https://www.mrsupply.com/ilsco-aluminum-mechanical-lug-au-350.html']"
14/2THHN,['https://www.platt.com/platt-electric-supply/Tray-Cable-VNTC/Multiple/144TCDBX5000FT/product.aspx?zpid=618900']
16/7THHN,['https://www.nassauelectrical.com/products/16-7-thhn-shielded-tray-cable']
TCNH12/3GGT,[]
8THHNWHT,[]
BEL 8719,"['https://www.empirewc.com/products/bel-8719', 'https://www.newtechindustries.com/belden-8719-1-pair-16-awg-19x29-strands-tinned-copper-1000/', 'https://www.nassauelectrical.com/products/belden-9414-cable-22-awg-1-pair-overall-beldfoil-shield-audio-control-and-instrumentation-stranded-7x30-pvc-jacket-cable']"
RAY RL123A-1,"['https://www.ebay.com/p/1000199151', 'https://www.ebay.com/itm/Rayovac-RL123A-3V-Lithium-Photo-Electronic-Battery-/232354322579']"
TCNH2/03G,[]
CAB CT-MPBC,[]
10THHNBRN,"[""https://www.scottelectricusa.com/online-store/product/10-awg-stranded-thhn-copper-cu-building-wire-brown-500-ft-500-feet-500-foot-500'/36283"", 'https://www.ebay.com/p/1600860654']"
10THHNGRN,"['https://www.mainelectricsupply.com/itemdetail/10GRNSTR', 'https://www.amazon.com/SOUTHWIRE-Company-Stranded-Building-Green/dp/B07J9LYWQT']"
10THHNYEL,"['https://www.winsupplyinc.com/superslick-elite/_/A-01575141', 'https://www.mainelectricsupply.com/itemdetail/10GRNSTR', 'https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-10-AWG/Multiple/10THHNCSTRYELX500/product.aspx?zpid=62603']"
14/3SOYEL,['https://www.platt.com/platt-electric-supply/Rubber-Cord-SOOW-105-/Multiple/143SOOWAYELMUSX250/product.aspx?zpid=162985']
ERI C4,"['https://www.mainelectricsupply.com/itemdetail/CADC4', 'https://www.elliottelectric.com/P/Item/CAD/C4/', 'https://www.platt.com/platt-electric-supply/Fasteners-Clamps-Mounting-Brackets-Fittings-Kits/nVent-Caddy/C4/product.aspx?zpid=11762', 'https://images.homedepot-static.com/catalog/pdfImages/c4/c412fef2-7b0c-45c2-9c66-b0ccfcb5c3fd.pdf']"
14THHNBLU,['https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-14-AWG/Multiple/14THHNCSTRBLUWHI50/product.aspx?zpid=239269']
UNI P1112EG,"['https://www.cesco.com/Unistrut-P1112EG-Unistrut-P1112EG-3-4-in-Pipe-Clamp-for-Rigid-Conduit-Electro-Galvanized/p1885186', 'https://www.galco.com/buy/Unistrut/P1112EG']"
UNI P1119,"['https://www.platt.com/platt-electric-supply/Pipe-Conduit-Clamps-Strut-Universal/Unistrut/P1119-EG/product.aspx?zpid=60052', 'https://www.gordonelectricsupply.com/p/Unistrut-P1119-Hg-3In-Pipe-Clamp/6276729', 'https://www.gordonelectricsupply.com/p/Unistrut-P1119-Eg-3In-Conduit-Clamp/6276162', 'https://www.mc-mc.com/2967277/Product/', 'https://www.rexelusa.com/usr/Root-Category/Fittings/Strut---Fittings-%26-Support/Pipe-%26-Conduit-Clamps/Strut-Conduit-Clamps---Universal/Unistrut-P1119-EG-Rigid-Steel-Conduit-Clamp/p/179153']"
14THHNPUR,"['https://www.platt.com/platt-electric-supply/THHN-Stranded-14-AWG/Multiple/14THHNCSTRPURX500/product.aspx?zpid=62688', 'https://www.mainelectricsupply.com/itemdetail/14PURSOL', 'https://shop.kendallelectric.com/buy/product/14-thhn-solid-purple-500-reel-wire/2501588']"
12SOLRED,"['https://www.inlineelectric.com/buy/product/single-conductor-cable-13912-product-single-conductor-cable/13912', 'https://www.inlineelectric.com/catalog/shop/Wire-Cords-Cables/Building-Wire-Cable/Copper-Building-Wire/Copper-Building-Wire-THHN-T90-Solid/dept-3UR?a=1']"
16/12PR SP/OS LSZH 600V K1,[]
12SOLBLU,"['https://www.granitecityelectric.com/index.jsp?path=product&part=914467&ds=dept&process=search&qdx=0&text=2200&title=thhn.12.sol.blu.cu.2000cn', 'https://www.rexelusa.com/p/1327331/cerro/12-thhn-sol-blu-2500ft-rl/112-1604m', 'https://www.crawfordelectricsupply.com/product/detail/MC-Cable-Copper-WIC-MCS-12-2-SOL-BLU-WHT-250C/?s=23647', 'https://www.ebay.com/itm/NEW-ADIDAS-F30-TRX-FG-MENS-SOCCER-SHOES-SOLBLU-RUNWHT-SOLZES-SIZE-12-US-SELLER-/303543341772', 'https://www.cesco.com/Mc-Hcfc-Cable-MC-ALU-12-2-SOL-BLU-WHT-GRN-250-Copper-Building-Wire-MC-ALU-12-2-SOL-BLU-WHT-GRN-250-Cable/p2087493']"
RAY HDD,[]
16/3SOOWAYEL,"['https://www.rexelusa.com/p/58428/soowa-portable-cord-16-3-yellow-250-rated-105c-600v/980130425501/soowasow163yel250rl', 'https://www.amazon.com/3-SOOW-Black-600V-Portable-Cable/dp/B07GFX6VNT']"
2/0THHNGRN,"['https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-2-0-AWG/Multiple/2ATHHNCSTRGREX5000/product.aspx?zpid=226385', 'https://www.mainelectricsupply.com/itemdetail/?itemCode=2%2F0GRNSTR']"
RAY HD9V,[]
PS PS1270F1,['https://www.jmac.com/Powersonic_PS_1270_F1_p/POWERSONIC-PS-1270F1.htm']
14THHNWHT,"['https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-14-AWG/Multiple/14THHNCSTRBLUWHI50/product.aspx?zpid=239269', 'https://www.georgiaunderground.net/content/CU_THHN_TRACER_WIRE.pdf']"
1/0-7SDBC,
1/0THHNBLK,[]
BRA M21-187-C-342,"['https://www.elliottelectric.com/P/Item/BRA/M21187C342/', 'https://jbjsupply.com/brady-permasleeve-heat-shrink-polyolefin-wire-marking-sleeves-m21-187-c-342-black-on-white-sleeves-compatible-with/']"
BRA MC-187-342,"['https://www.bradyid.com/wire-cable-labels/heat-shrink-sleeves/bmp41-bmp51-bmp53-permasleeve-polyolefin-20-to-10-gauge-wire-marking-sleeves-cps-brus-11852?part-number=mc-187-342', 'https://www.bradyid.com/en-us/product/mc-187-342-yl', 'https://www.amazon.com/Brady-MC-187-342-Polyolefin-Cartridge-Printers/dp/B007XIOE9U']"
10THHNBLK,"['https://www.mainelectricsupply.com/itemdetail/10BLKSTR', 'https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-10-AWG/Multiple/10THHNCSTRBLAX500/product.aspx?zpid=62557']"
14THHNRED,[]
12/3 W/GND AIA 600V,['https://www.nassauelectrical.com/products/teck90-multi-conductor-12-awg-xlpe-pvc-aia-pvc-control-armored-600v-csa']
EFX LA12,"['https://www.standardelectricsupply.com/Electri-Flex-LA12-GRY-3-4-100FT-Electrical-Conduit', 'https://www.amazon.com/Liquatite-12-Flexible-Conduit-22101/dp/B00E2Y0Z28']"
BL B54SS410,
6THHNGRN,['https://www.ebay.com/p/2173671811']
ALP FIT-221-3/4 BLACK,['https://doczz.net/doc/855084/click-for-pdf---kgp-logistics']
8RHHRHW,['https://www.southwire.com/wire-cable/building-wire/aluminum-rhh-rhw-2-use-2-with-alumaflex-brand-conductors/p/27287202']
PEC F110037S4,[]
14MTWWHT/BLUM,[]
SOUTHWIRE,[]
4/0BARE,"['https://www.irby.com/product/detail/Copper-Wire-4-0SDBARE7STR500/?s=69355', 'https://www.platt.com/platt-electric-supply/Bare-Copper-Stranded/Multiple/4ABCSTRX1000/product.aspx?zpid=69682']"
10MTWBLK,[]
10MTWWHT,[]
EMT 31290,"['https://www.elliottelectric.com/P/Item/ROB/EMT31290/', 'https://www.platt.com/platt-electric-supply/Conduit-Elbows-EMT-90-/Multiple/312E90/product.aspx?zpid=16366', 'https://www.frenchgerleman.com/itemLevelFilterPage.action?pageClick=Y&codeId=149168&levelNo=0&gallery=0&sortBy=brand_desc&resultPage=12&keyWordTxt=&pageNo=132']"
PEC 1420HNSS,"['https://www.elliottelectric.com/P/Item/PEC/1420HNSS/', 'https://www.turtle.com/9386/Manufacturer/peco-fasteners', 'https://www.gordonelectricsupply.com/p/Peco-1420Hnss-5C-1-4-20-Hx-Nut-18-8-Stainless-Steel-500/6496465']"
