RYC HVT152G,[]
THE TP612,"['https://www.elliottelectric.com/P/Item/CRS/TP612/', 'https://www.elliottelectric.com/P/Item/ItemCompare/?Catalog1=TP612&Vendor1=CRS&Catalog2=58C5&Vendor2=TAB', 'https://www.frostelectric.com/buy/product/crouse-hinds/3475925?ID=/Boxes-Enclosures-Fittings/Electrical-Steel-Boxes-Accessories/Handy-Boxes-Accessories/Covers/dept-5MI', 'https://www.frostelectric.com/catalog/shop/Boxes-Enclosures-Fittings/Electrical-Steel-Boxes-Accessories/Handy-Boxes-Accessories/Covers/dept-5MI?a=1', 'https://www.kirbyrisk.com/store/utility-box-cover-steel/']"
THE TP7034,"['https://www.eaton.com/us/en-us/skuPage.TP7034.html', 'https://www.eaton.com/us/en-us/skuPage.TP7034.specifications.html', 'https://www.platt.com/platt-electric-supply/Metallic-Boxes-Covers-Weatherproof-1-Gang/Cooper-Crouse-Hinds/TP7034/product.aspx?zpid=222136']"
14THHNBLU/WHT,"['https://www.platt.com/platt-electric-supply/THHN-Stranded-14-AWG/Multiple/14THHNCSTRWHIWBLUE500/product.aspx?zpid=239270', 'https://www.frenchgerleman.com/822358/Product/Alan-Wire-14AWG-THHN-White-with-Blue-Stripe,-2500ft.']"
GRC 50090,"['https://www.lightingsupply.com/garvin-re-50090.aspx', 'https://meproducts.net/products/product-categories/nipples-elbows-couplings/rigid-conduit-elbows-90%CB%9A']"
TYT T50R9C2,['https://www.homedepot.com/b/Hardware-Tie-Down-Straps/N-5yc1vZc2dn']
THE TP15400,"['https://www.homedepot.com/p/Carlon-PVC-Blue-1-Gang-8-cu-in-New-Work-Electrical-Switch-and-Outlet-Box-B108B-UPC/100404057', 'https://www.amazon.com/PVC-Switch-Boxes/s?k=PVC+Switch+Boxes', 'https://www.amazon.com/B125AB-1-Gang-Switch-Outlet-Electrical/dp/B08NCFQL8F', 'https://hdsupplysolutions.com/p/carlon-225-cu-in-1-gang-new-work-pvc-switch-outlet-wall-electrical-box-%28blue%29-p837677']"
THE TP7082,"['https://www.rexelusa.com/usr/Root-Category/Boxes%2C-Enclosures/Boxes---Weatherproof/Metallic-Boxes-%26-Covers/Weatherproof-Metallic-Boxes---1-Gang/Cooper-Crouse-Hinds-TP7082-1-G-DP-WP-BOX-LUG-1-3-HOLE-GRAY/p/614577', 'https://www.eaton.com/us/en-us/skuPage.TP7082.html', 'https://www.platt.com/platt-electric-supply/Metallic-Boxes-Covers-1-Gang-Metallic/Cooper-Crouse-Hinds/TP7082/product.aspx?zpid=222143', 'https://www.gordonelectricsupply.com/p/Raco-5320-0-1G-Wp-Box-W-3-1-2Hubs/6005237', 'http://www.ckelectricalsales.com/upc_files/crousehindsupc.xls', 'https://www.amazon.com/Quantity-Crouse-Hinds-Thepitt-Weatherproof-Extension/dp/B01M3VXIFX']"
THE TP2030,"['https://www.amazon.com/Electrical-Box-Shallow-Bracket-PVC/dp/B000FPCDSW', 'https://www.gexpro.com/usg/Root-Category/Boxes%2C-Enclosures/Boxes---Non-Metallic/c/CT35?q=%3Arelevance%3Abrand%3ABR60%3Abrand%3ABR942&text=&filter=&aliasname=&partialSearch=', 'https://www.homedepot.com/p/Carlon-PVC-Blue-1-Gang-18-cu-in-New-Work-Electrical-Switch-and-Outlet-Box-with-Bracket-B118B-UPC/100404148']"
GC 01006,"['https://www.walmart.com/c/kp/dryer-cords', 'https://www.galesburgelectric.com/epco-40031-6-ft-dryer-cord-black/']"
SHM 034CPLG,"['https://www.amazon.com/Halex-64007-THREADED-COUPLING-Silver/dp/B000VYFJIS', 'https://www.bptfittings.com/store/3-4-split-threaded-rigid-conduit-coupling.html']"
CUT HFD3015L,"['https://www.platt.com/platt-electric-supply/Circuit-Breakers-Molded-Case-600-Volt-AC/Eaton/HFD3015L/product.aspx?zpid=301465', 'https://www.alliedelec.com/product/eaton-cutler-hammer/hfd3015l/70057158/']"
BAR D2T-M18SS,[]
RAC 4282,[]
RAC 3873,"['https://www.boatid.com/attwood/3-4-polypropylene-thru-hull-mpn-3873-3.html', 'https://www.walmart.com/ip/Attwood-3873-3-Polypropylene-Straight-Thru-Hull-Connector-White-Finish/32906015']"
PEC VG75,[]
RAC 4202,"['https://www.bptfittings.com/store/rigid-and-imc-conduit-body-type-lb-malleable-iron-size-1-2-inch.html', 'https://www.bptfittings.com/store/rigid-imc-fittings/conduit-bodies/lb-type/malleable-with-without-cover-gasket/1-1-2-inch-malleable-iron-lb-conduit-body-with-steel-cover-and-neoprene-gasket-constructed-with-npt-tapered-hubs.html']"
RAC 4203,"['https://www.bptfittings.com/store/3-4-inch-malleable-iron-lb-conduit-body-with-steel-cover-and-neoprene-gasket-constructed-with-npt-tapered-hubs.html', 'https://www.bptfittings.com/store/rigid-and-imc-conduit-body-type-lb-malleable-iron-size-3-4-inch.html', 'https://www.stateelectric.com/products/crouse-hinds-lb75m-cg/', 'https://www.kirbyrisk.com/conduit-bodies-covers/']"
16/2SHLDTHHNW/D,['https://www.gexpro.com/p/144869/omni-cable/shielded-tray-cable-16-2-pvc-jacket-600v-ul-type-tc-er/a21602']
12THHNPNK,['https://www.mainelectricsupply.com/itemdetail/12PNKSTR']
ENT 001011514,['https://www.ebay.com/itm/ABB-Entrelec-0010-115-14-001011514-RB122-B-1DPDT-Terminal-Relay-110VAC-/233796776451']
THE TP556,['https://www.elliottelectric.com/P/Item/TAB/721711234/']
PHD 2103EG,[]
WES 994,"['https://www.rexelusa.com/p/15343/west-penn-wire-unshielded-riser-14-1-pair-red-1000-foot-reel-662012009947-994', 'https://www.showmecables.com/fire-alarm-cable-2-conductor-14-awg-solid-unshielded-pvc-red-west-penn-part-994', 'https://www.ebay.com/itm/25-West-Penn-Wire-994-1-Pair-14-AWG-SOLID-Fire-Alarm-Wire-Cable-/124339067850']"
BRA XPS-187-CONT,"['https://www.bradyid.com/wire-cable-labels/heat-shrink-sleeves/idxpert-permasleeve-polyolefin-wire-marking-sleeves-pid-xps-187-cont', 'https://www.bradyid.com/bradyid/pdpv/XPS-187-1.html']"
BEL 8619,[]
BRA XPS250-CONT,"['https://www.bradyid.com/wire-cable-labels/heat-shrink-sleeves/idxpert-permasleeve-polyolefin-wire-marking-sleeves-pid-xps-250-cont', 'https://www.walmart.com/ip/BRADY-XPS-250-CONT-Label-Tape-Cartridge-Black-on-White-Labels-Roll-Continuous/155770619', 'https://www.amazon.com/Brady-IDXPERT-PermaSleeve-Heat-Shrink-Polyolefin/dp/B008BUAM7M']"
BEL 9269,[]
AMP 206322-1,[]
ENT 17967214,['https://www.rexelusa.com/usr/Root-Category/Control%2C-Automation/Terminal-Blocks/Accessories/Jumper-Bars/Entrelec-017666704-Terminal-Block%2C-Jumper-Bar%2C-10P%2C-32A%2C-4mm%2C-Type%3A-BJMI6/p/271351']
A83-0146,[]
TOP 120,['https://www.topaz-usa.com/120']
PHL 100A2135TF,"['https://www.bulbs.com/Incandescent_Bulbs/Medium_(E26)-Base/results.aspx?Ntt=100+watt', 'https://www.frysfood.com/p/philips-energysaver-13-watt-100-watt-medium-base-cfli-light-bulbs/0004667741709', 'https://www.kroger.com/p/philips-100-watt-a19-soft-white-led-light-bulbs/0004667754295']"
HAL 2502,[]
SAN CR12600SE,['https://www.ebay.com/itm/Brand-New-Sanyo-FDK-CR14250SE-3V-Lithium-Battery-with-Connector-/303109634137?_ul=IL']
ARL 933,"['https://www.platt.com/platt-electric-supply/Conduit-Bodies-Aluminum-Universal/Arlington/933/product.aspx?zpid=672219', 'https://www.granitecityelectric.com/index.jsp?path=product&part=568652&ds=dept&process=search&qdx=0&ID=%2CConduit.Fittings.Bodies.Outlet.Boxes.Accessories%2CBodies.Condulets.Unilets.Etc%2CAluminum.Bodies.Condulets.Unilets%2CAluminum.Conduit.Bodies.Covers%2Cdept-1NF&title=933', 'https://shop.kendallelectric.com/buy/product/933-arl/2353900', 'https://www.elliottelectric.com/P/Item/ARL/933/', 'https://www.ebay.com/itm/Arlington-Industries-933-/323357418120?_ul=EC', 'https://www.ebay.com/itm/Arlington-Industries-933-Arl-1-1-4-Lb-Comb-Cover-Gasket-/222637080730?epid=1629026018&hash=item33d634409a:i:222637080730', 'https://www.basupply.com/Arlington-Fittings-933-Arlington-933-ARL-1-1-4-LB-COMB-Cover-GASKET/p3097096', 'http://www.aifittings.com/catalog/conduit-bodies/anybody-metallic-conduit-bodies/933']"
FS K8107181A,['https://www.rexelusa.com/usr/Root-Category/Signaling%2C-Security/Visual-Signals/Beacons/Bulbs/Federal-Signal-K8107181A-Lamp%2C-Replacement%2C-Incandescent%2C-120VAC%2C-For-400R-Series-Beacon/p/65137']
ENT 16511316,['http://www.elliottelectric.com/P/Item/ENT/011511607/']
16SISFWHT,[]
BEL 83009 BLK,[]
SQD HU361AWKVWEI2,"['https://www.gordonelectricsupply.com/p/Square-D-Hu361Awkvwei2-Switch-Not-Fusible-Heavy-Duty-Nema12-Interlock-View/1193832', 'https://www.mecampbell.com/square-d-by-schneider-hu362awkeivw-60-amp-600-volt-3-pole-non-fusible-nema-12-safety-switch-disconnect-heavy-duty-w-electrical-interlock-1-no-1-nc-w-viewing-window.html', 'https://www.cesco.com/Square-D-by-Schneider-Electric-Heavy-Duty/c4951-m2860']"
GRE GT11,"['https://www.munroelectric.com/silvereclipse/index.jsp?path=product&part=1112708&ds=dept&process=search&ID=,Electrician.Tools,Other.Tools,Electrical.Testers', 'https://www.rexelusa.com/p/31187/78331009022-gt-11', 'https://www.womacktools.com/adjustable-non-contact-voltage-detector/product/0/401640', 'https://www.platt.com/platt-electric-supply/Voltage-Continuity-Detectors/Greenlee/GT-11/product.aspx?zpid=570144']"
PHL ELO18,[]
MOT NTN4822B,['https://www.walmart.com/ip/Motorola-NTN4822B-2-Way-Radio-Battery-Ni-CD-10V-1200mAh-Rechargeable-Battery-replacement-for-Motorola-NTN5447A-Battery/700093263']
THR 38X6,['https://www.amazon.com/12-Zinc-Plated-All-Thread-Rod/dp/B00CDRPCO2']
IGU CF21-40-10-02-01-UL,['https://www.ebay.com/itm/igus-CF21-40-15-02-01-UL-12-4C-16-1P-Chainflex-Servo-Continuous-Flex-Cable-5ft-/164432211992']
ENT 10101823,[]
UNI P1001-HG-10,[]
PS PS-C,['https://www.walmart.com/ip/C-Size-Rechargeable-Battery-2000mAh-NiCd-1-2V-Flat-Top-Cell-FAST-USA-SHIP/788486194']
ENT 10159826,['https://www.rexelusa.com/p/270721/entrelec-din-rail-slotted-zinc-plated-steel-35mm-x-15mm-x-2m-662019952628-010159826']
APL LL57,"['https://www.elliottelectric.com/P/Item/APP/LL57/', 'https://www.platt.com/platt-electric-supply/Conduit-Bodies-Iron-Type-LL/Appleton/APPLL57/product.aspx?zpid=3059', 'https://www.platt.com/platt-electric-supply/Conduit-Bodies-Iron-Type-LL/Cooper-Crouse-Hinds/LL57/product.aspx?zpid=722955', 'https://www.galco.com/buy/Crouse-Hinds/LL57', 'https://www.ebay.com/itm/APPLETON-1-1-2-GRAYLOY-FM7-CONDUIT-BODY-APP-LB57-NEW-IN-BOX-/223369238531']"
UNI P300PG10,['https://unistrutstore.com/1-58-metal-framing/unistrut-channel/p1000/unistrut-p1000.html']
AMP M85049/41-10A,['https://www.ebay.com/itm/ITT-CONNECTOR-CLAMP-PART-M85049-41-10A-/192836650500']
AMP MS85049/41-8A,['https://www.ebay.com/itm/GLENAIR-INC-M85049-41-8A-CABLE-CLAMP-AS-PICTURED-NEW-NO-BOX-/312553799797']
AMP MS3106A18-4P,['https://www.ebay.com/itm/164038640338']
AMP MS3101A16S-6S,[]
AMP MS3106A16-5S,[]
AMP MS3016A18-1P,[]
